Country,Commodity,Year,Loss Percentage,Loss Quantity,Stage,Method,Reference
Afghanistan,Barley,2017,14.74,14000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Barley,2016,14.58,44000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Barley,2015,14.89,60000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Barley,2014,14.78,77000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Maize,2017,14.95,26000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Maize,2016,15.08,47000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Maize,2015,14.87,47000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Maize,2014,14.87,47000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Rice,2017,7.09,24000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Rice,2016,7.01,25000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Rice,2015,7.07,29000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Rice,2014,6.7,36000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2017,15,642000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2016,15.02,684000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2015,15,701000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2014,14.95,803000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2013,14.99,775000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2012,15.01,758000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2011,14.99,508000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2010,14.96,678000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2009,15.17,768000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2008,15.14,397000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2007,15.01,673000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2005,15,640000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2004,14.39,344000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2003,18.79,654000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2002,10.01,269000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2001,10.02,160000,Whole supply chain,FAO's Questionnaires,FAO Sources
Afghanistan,Wheat,2000,10.01,147000,Whole supply chain,FAO's Questionnaires,FAO Sources
Africa,Maize,2010,30,0,Whole supply chain,Survey,"Global strategy, 2017"
Algeria,Potatoes,2005,25,0,Whole supply chain,Literature Review,(Yahia 2005)
America, ,2019,3,0,Whole supply chain,National Accounts,N/A
America, ,2019,3,0,Whole supply chain,National Accounts,N/A
America, ,2018,3,0,Whole supply chain,National Accounts,N/A
America, ,2018,3,0,Whole supply chain,National Accounts,N/A
America, ,2018,18.8,0,Retail,Modelled Estimates,"Ron Porat,Amnon Lichter,Leon A. Terry,Roger Harker,Jean Buzby (2018), Postharvest losses of fruit & vegetables during retail & in consumers’ homes: Quantifications, causes, & means of prevention"
America, ,2017,3,0,Whole supply chain,National Accounts,N/A
America, ,2017,3,0,Whole supply chain,National Accounts,N/A
America, ,2016,3,0,Whole supply chain,National Accounts,N/A
America, ,2016,3,0,Whole supply chain,National Accounts,N/A
America, ,2015,3,0,Whole supply chain,National Accounts,N/A
America, ,2015,3,0,Whole supply chain,National Accounts,N/A
America, ,2014,3,0,Whole supply chain,National Accounts,N/A
America, ,2014,3,0,Whole supply chain,National Accounts,N/A
America, ,2013,3,0,Whole supply chain,National Accounts,N/A
America, ,2013,3,0,Whole supply chain,National Accounts,N/A
America, ,2012,3,0,Whole supply chain,National Accounts,N/A
America, ,2012,3,0,Whole supply chain,National Accounts,N/A
America, ,2011,3,0,Whole supply chain,National Accounts,N/A
America, ,2011,3,0,Whole supply chain,National Accounts,N/A
America, ,2010,3,0,Whole supply chain,National Accounts,N/A
America, ,2010,3,0,Whole supply chain,National Accounts,N/A
America, ,2009,3,0,Whole supply chain,National Accounts,N/A
America, ,2009,3,0,Whole supply chain,National Accounts,N/A
America, ,2008,3,0,Whole supply chain,National Accounts,N/A
America, ,2008,3,0,Whole supply chain,National Accounts,N/A
America, ,2008,30,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America, ,2007,3,0,Whole supply chain,National Accounts,N/A
America, ,2007,3,0,Whole supply chain,National Accounts,N/A
America, ,2006,3,0,Whole supply chain,National Accounts,N/A
America, ,2006,3,0,Whole supply chain,National Accounts,N/A
America, ,2006,12.8,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America, ,2005,3,0,Whole supply chain,National Accounts,N/A
