Category,Commodity,2013,2014,2015,2016,2017,2018,2019
Cereals,Cereals,265,252,251.6,275.1,285,285.2,296.7
Rice,Rice,245.8,234.9,235.2,252,259.6,263.2,273.5
Wheat,Wheat,106.6,105.5,104.4,109.7,112.8,116.5,118.4
Coarse Cereals,Coarse Cereals,95.9,86.5,92.3,98.5,99.9,103.6,107.6
Pulses,Pulses,43.3,42.9,38.5,43.8,47,43.1,47.5
Oilseeds,Oilseeds,19.3,17.2,16.4,23.1,25.4,22.1,23.2
Fruits,Fruits,32.7,27.5,25.3,31.3,31.5,31.5,33.4
Vegetables,Vegetables,91.5,89.5,90.2,92.9,97.4,98,99.1
Plantation Crops,Plantation Crops,160.3,166.6,169.1,178.2,184.4,183.2,191.8
Spices,Spices,16.3,15.6,16.7,18,18.1,16.4,16.3
Eggs,Eggs,5.9,6.1,7,8.1,8.1,9.4,9.4
Fisheries,Fisheries,74.8,78.5,82.9,88.1,95.2,103.3,0
Meat,Meat,9.6,10.3,10.8,11.4,12.6,13.8,0
Milk,Milk,6.2,6.7,7,7.4,7.7,8.1,0
