Crop,Commodity,2013,2014,2015,2016,2017,2018,2019
Almond,Almond,13,10,8,7,14,11,9
Aonla/Gooseberry,Aonla/Gooseberry,1225,1173,972,1075,1075,1046,1107
Apple,Apple,2498,2134,2521,2265,2327,2316,2734
Banana,Banana,29725,29221,29135,30477,30808,30460,31504
Ber,Ber,663,401,425,545,513,539,539
Lime/Lemon,Lime/Lemon,2835,2950,2438,2364,3148,3482,3717
Mandarin,Mandarin,3431,3699,4113,4438,5101,6243,6368
Sweet Orange (Mosambi),Sweet Orange (Mosambi),3886,4229,3468,3209,3266,3266,3483
Other Citrus,Other Citrus,994,777,1562,1408,1030,412,407
Custard Apple,Custard Apple,165,228,298,383,401,339,347
Grapes,Grapes,2585,2823,2590,2922,2920,3041,3125
Guava,Guava,3668,3994,4048,3826,4054,4253,4304
Jackfruit,Jackfruit,1573,2088,1732,1694,1830,1764,1835
Kiwi,Kiwi,8,8,11,12,12,13,13
Litchi,Litchi,585,528,559,568,686,721,730
Mango,Mango,18431,18527,18643,19506,21822,21378,20444
Muskmelon,Muskmelon,761,863,935,1097,1231,1266,1330
Papaya,Papaya,5639,4913,5667,5940,5989,6050,6011
Passion Fruit,Passion Fruit,124,129,78,72,82,81,76
Peach,Peach,94,97,107,106,114,118,125
Pear,Pear,317,303,323,346,318,300,306
Picanut,Picanut,0,0,1,0,0,0,0
Pineapple,Pineapple,1737,1984,1924,1861,1706,1711,1799
Plum,Plum,76,72,82,81,89,85,77
Pomegranate,Pomegranate,1346,1789,2306,2613,2845,2915,2315
Sapota,Sapota,1744,1339,1294,1236,1176,1059,1003
Strawberry,Strawberry,2,8,5,4,5,5,8
Walnut,Walnut,241,238,229,287,300,299,296
Watermelon,Watermelon,1810,2049,2325,2182,2520,2495,2787
Others,Others,5372,2938,2386,2392,1977,2298,2268
