Country Name,Waste,Latitude,Longitude,Organic Waste
Afghanistan,5628525.37,34.023,65.5267,0
Albania,1142964,40.654,20.076,51.4
Algeria,12378740,28.6045,2.64,54.4
American Samoa,18989.49,-14.3018,-170.7511,19.7
Andorra,43000,42.5425,1.5893,31.2
Angola,4213643.585,-12.836,17.808,51.8
Antigua and Barbuda,30585,17.625,-61.786,46
Argentina,17910550,-33.166,-64.31,38.74
Armenia,492800,40.56,44.449,57
Aruba,88132.0167,12.5176,-69.9818,0
Australia,13345000,-24.578,133.582,48.44
Austria,4836000,47.65,14.705,31.4
Azerbaijan,2930349,40.46,47.883,45.19
"Bahamas, The",264000,24.7032,-78.0455,46
Bahrain,951942.9695,26.025,50.5534,59.1
Bangladesh,14778497.33,24.598,90.1963,80.58
Barbados,174815.4444,13.1898,-59.559,18.3
Belarus,4280000,53.3292,27.9492,30
Belgium,4708000,50.6745,4.4588,14.18
Belize,101378.8303,17.108,-88.744,47
Benin,685936.01,10.478,2.274,52.1
Bermuda,82000,32.3019,-64.7737,17
Bhutan,111314.05,27.5342,90.3002,58
Bolivia,2219052,-16.71,-65.183,55.1969112
Bosnia and Herzegovina,1248718,44.342,17.804,0
Botswana,210854.4426,-22.126,23.662,8.1
Brazil,79889010,-11.694,-48.978,51.4
British Virgin Islands,21099.19,18.4204,-64.64,6.5
Brunei Darussalam,216253.156,4.452,114.557,36
Bulgaria,3011000,42.625,24.521,24.35
Burkina Faso,2575251.11,12.673,-1.226,21
Burundi,1872016,-3.333,29.749,81
Cabo Verde,132555,15.416,-23.36,0
Cambodia,1089000,12.69,104.444,66.6
Cameroon,3270616.59,4.4,12.131,83.4
Canada,25103034,59.2067,-111.1937,24
Cayman Islands,60000,19.3299,-81.1715,10.9
Central African Republic,1105983,7.043,21.424,0
Chad,1358850.53,15.981,18.781,70
Channel Islands,178933,49.4632,-2.5827,0
Chile,6517000,-23.176,-69.201,53.3
China,210000000,35.1753,99.3877,61.2
Colombia,12150120,3.794,-73.606,59.58
Comoros,91013,-11.6527,43.3307,50
"Congo, Dem. Rep.",14385226.02,-1.418,23.607,0
"Congo, Rep.",451200,0.509,16.08,0
Costa Rica,1460000,10.126,-84.075,58
